roi,r_arith_3d,r_arith_2d_median,r_arith_2d_q25,r_arith_2d_q75,r_eff_3d,r_eff_2d_median,r_eff_2d_q25,r_eff_2d_q75
sham_25_contra_CC,0.23422280826400005,0.19952860474586487,0.19847522675991058,0.20098695158958435,0.3746229777070602,0.3382710814476013,0.3325640931725502,0.34396540373563766
sham_25_contra_CG,0.2996282040618954,0.2599991261959076,0.2585684657096863,0.26175111532211304,0.6653312171826067,0.5806255340576172,0.5701158195734024,0.608012244105339
sham_25_ipsi_CC,0.24031720723824754,0.20879067480564117,0.20799265801906586,0.20979225635528564,0.4240174308808183,0.37520238757133484,0.36656201630830765,0.38371461629867554
sham_25_ipsi_CG,0.28229255871927106,0.2535788416862488,0.2525986433029175,0.25492238998413086,0.8361293710498127,0.7302484214305878,0.7029245793819427,0.7579834014177322
sham_49_contra_CC,0.24760537408335226,0.21851831674575806,0.21733728051185608,0.21970543265342712,0.3912190679372553,0.36987701058387756,0.36576947569847107,0.37539181113243103
sham_49_contra_CG,0.2968883162981448,0.26866406202316284,0.266401469707489,0.2711036801338196,0.6347115642579054,0.529592752456665,0.5230886936187744,0.537780836224556
sham_49_ipsi_CG,0.3014192200418379,0.27724355459213257,0.27587559819221497,0.27908557653427124,0.74073099256221,0.6426491439342499,0.6270800828933716,0.6598538160324097
tbi_24_contra_CC,0.21622916872536427,0.1854754090309143,0.18457530438899994,0.18619096279144287,0.34185447986266565,0.31548914313316345,0.3111858665943146,0.3211728632450104
tbi_24_contra_CG,0.2596787037025681,0.221705824136734,0.22011539340019226,0.22296439111232758,0.5596639970169672,0.4286595731973648,0.41712402552366257,0.44454460591077805
tbi_24_ipsi_CC,0.23503702238765534,0.20554718375205994,0.2047344446182251,0.20650963485240936,0.4124663071302485,0.3620316982269287,0.35657458007335663,0.36760828644037247
tbi_24_ipsi_CG,0.2275352651780174,0.1958577185869217,0.19180673360824585,0.19875691831111908,0.34644859106760445,0.3203432857990265,0.3099079728126526,0.32807105779647827
tbi_28_contra_CC,0.229695316848635,0.20245087146759033,0.201084166765213,0.20374524593353271,0.40897531726887204,0.39326323568820953,0.38663702458143234,0.40102753788232803
tbi_28_contra_CG,0.26717657548655144,0.2377939522266388,0.23667582869529724,0.23929272592067719,0.5111032671034388,0.4452062249183655,0.44030216336250305,0.45531339943408966
tbi_28_ipsi_CC,0.23326034612435625,0.20567774772644043,0.20409947633743286,0.20661790668964386,0.4136527240535626,0.4005510061979294,0.39358310401439667,0.40778642147779465
tbi_28_ipsi_CG,0.2424533612204249,0.21692687273025513,0.21423085033893585,0.2189185917377472,0.3972793449347441,0.38185399770736694,0.3724459260702133,0.39559347182512283
tbi_2_contra_CC,0.22993610178225016,0.20351719856262207,0.20115527510643005,0.2046220600605011,0.3438767683106302,0.3284473121166229,0.32350362837314606,0.33529995381832123
tbi_2_contra_CG,0.2640778505268231,0.23448055982589722,0.23344707489013672,0.2361392378807068,0.552921332225014,0.43339990079402924,0.4277215227484703,0.4427027255296707
tbi_2_ipsi_CC,0.21515790014454056,0.18944478034973145,0.1872430145740509,0.19114354252815247,0.319501605807581,0.2955034673213959,0.2906858026981354,0.3026442527770996
tbi_2_ipsi_CG,0.20615441537104898,0.1814708709716797,0.1804492026567459,0.18380901217460632,0.3146911038252695,0.2835521399974823,0.2795020490884781,0.2877982035279274
