metric,species,sample_size,median_pct,q25_pct,q75_pct
r_arith,rat,100,-0.06358510055696931,-2.901347598789679,2.9077060836394497
r_arith,rat,300,0.010508679017545675,-1.6913309617352725,1.682627049272393
r_arith,rat,1000,0.0022695741090246906,-0.9225273874702759,0.9329357008143118
r_arith,rat,3000,-0.0033624040169905976,-0.5468652817500851,0.5341505186430857
r_arith,rat,10000,-0.0009310949885829786,-0.28906945295044734,0.2946910378159042
r_arith,rat,30000,-0.000211979581613839,-0.16356667588416252,0.1659409571955596
r_arith,rat,100000,2.5308886433094735e-05,-0.09238257055220701,0.09095601795604981
r_arith,human,100,-0.31117227384308355,-5.348903475033124,5.01034350994163
r_arith,human,300,-0.07849439578035294,-3.0061270995622267,2.892310986802028
r_arith,human,1000,-0.031147476859480917,-1.6321857153184975,1.5975016809807638
r_arith,human,3000,-0.021118851707333273,-0.9412636885266998,0.9088422044501854
r_arith,human,10000,-0.006566028161600648,-0.5195302666825548,0.5039431643056873
r_arith,human,30000,-0.0019402492273842026,-0.3002924189606101,0.29765394992442706
r_arith,human,100000,-0.002141835710732647,-0.16442025051502984,0.15901596983447994
r_eff,rat,100,-8.803961943695453,-16.574753995399043,-1.3753067437556938
r_eff,rat,300,-6.068497690789471,-12.017318752901604,-0.5965065340457512
r_eff,rat,1000,-4.180170603042248,-8.51486418752051,-0.13903444650156038
r_eff,rat,3000,-2.9447125781691104,-6.4524766189942095,0.15857714670056522
r_eff,rat,10000,-1.9354261765148524,-4.641238626008055,0.25703668375945804
r_eff,rat,30000,-1.1956872952135238,-3.2634754342016876,0.4421440250446969
r_eff,rat,100000,-0.6535971880961382,-2.0888104792289246,0.5648221433947047
r_eff,human,100,-27.35712755915091,-38.89852603707698,-12.141510174991948
r_eff,human,300,-19.070453514225363,-29.488974790401855,-5.945163190608424
r_eff,human,1000,-12.727470534549862,-21.329104933264396,-2.3064672877958734
r_eff,human,3000,-8.83722486855459,-15.736843155859376,-0.9057611535529746
r_eff,human,10000,-5.634397531247387,-11.245833091364402,0.5665857275599465
r_eff,human,30000,-3.443000439323928,-8.03919636340999,1.4011010639184378
r_eff,human,100000,-1.7187775802599385,-5.069686583069287,1.7429736373346176
