species,distribution,summed_aic,win_rate
human,genextreme,264538387.78138638,0.8
human,invgauss,265466552.13933268,0.2
human,lognorm,265634956.2870558,0.0
human,fisk,265944580.32853162,0.0
human,fatiguelife,266067623.77015293,0.0
human,gamma,271673067.4501087,0.0
rat,genextreme,707125767.0243262,0.8421052631578947
rat,gamma,709249172.2786273,0.0
rat,fisk,711290357.6581217,0.10526315789473684
rat,lognorm,711658744.16522,0.05263157894736842
rat,fatiguelife,713061656.8127246,0.0
rat,invgauss,713618506.8166754,0.0
