species,sample_idx,empirical_r_arith,empirical_r_eff
human,0,0.4291566750131554,1.3435775364779858
human,1,0.3879066928803705,1.3674782368015597
human,2,0.35577835749046555,1.1649443515875002
human,3,0.3571112311380814,1.2603878848170704
human,4,0.402686390615213,1.683808816551206
human,5,0.46216766420188876,1.9164404217141044
human,6,0.4401788490612569,1.757588667292103
human,7,0.40849059495916085,1.742979304509418
human,8,0.4397588784205596,1.582901915839219
human,9,0.462219491113392,1.6858122975865417
human,10,0.40084496636419586,1.4047103792631075
human,11,0.42390993819653006,1.69244414439942
human,12,0.39245443589145484,1.5006942704838593
human,13,0.532631720530116,1.848279820711052
human,14,0.45600201249405203,2.225546184012283
human,15,0.45626227350346266,1.8015835965742195
human,16,0.3713856731017967,1.5406667486285421
human,17,0.3800964188746565,1.7248140381155557
human,18,0.49474738055532513,1.9159714567839643
human,19,0.39983504665293695,1.390586645475224
human,20,0.46839507754697685,2.0446715448179735
human,21,0.5060524230101349,2.0632878038314875
human,22,0.4432896650375492,2.1202878632922606
human,23,0.4059072420090988,1.8834383196164683
human,24,0.42874692403755,1.8576490875614595
human,25,0.4236947996517288,1.7762468828113085
human,26,0.4027643674651287,1.6097761182854284
human,27,0.40727784913755277,1.5262307168075038
human,28,0.480875867669118,2.320335492587657
human,29,0.484018385010985,2.0524870706812623
human,30,0.39960105782148897,1.76482020170029
human,31,0.42718722020970523,1.9574069584443543
human,32,0.47679083147873863,2.202979099502373
human,33,0.4957446832772678,2.249599016422486
human,34,0.4132070654318409,2.088513102005474
rat,0,0.23423218092409825,0.375935132151673
rat,1,0.29962381987796377,0.6618038954809059
rat,2,0.2403080801285394,0.4249115997003203
rat,3,0.2822843330517225,0.8186844789059712
rat,4,0.24758566378602723,0.3925163898873404
rat,5,0.2968887329640647,0.6321379757646504
rat,6,0.30139742405763104,0.7314506349165392
rat,7,0.21620915652972464,0.3432833328596518
rat,8,0.2596941060498065,0.5598033987352551
rat,9,0.23504881379396608,0.4134244291836549
rat,10,0.22751469311379732,0.34795104721796566
rat,11,0.22966825236773264,0.41008435772660207
rat,12,0.26717887305754107,0.511868845674534
rat,13,0.2332679129923504,0.4146936598158275
rat,14,0.24243654351112645,0.3985271453628468
rat,15,0.22991940472645117,0.3453842124843514
rat,16,0.2640737386999039,0.528141419585016
rat,17,0.21513679494740237,0.32119552043909544
rat,18,0.20614061636325748,0.3161037561977804
