species,distribution,sample_idx,r_arith,r_eff,wasserstein
human,genextreme,0,0.4330514048410754,2.535224831441082,0.033607929153745275
human,genextreme,1,0.39025870204594104,2.4350856806579677,0.025337264246584577
human,genextreme,2,0.35704707945648484,1.939679890874148,0.017368620470086103
human,genextreme,3,0.3581807051929069,1.9984543891254394,0.019575371282977413
human,genextreme,4,0.4032961971239232,2.450424100663762,0.022832810515672774
human,genextreme,5,0.46566340971524256,2.9634587936212853,0.05074770106368045
human,genextreme,6,0.4406847815515041,2.725098905665276,0.032417627862545456
human,genextreme,7,0.4084605141363078,2.297974136106615,0.021125465880040085
human,genextreme,8,0.4434318904064983,2.7339754123716293,0.03819649971296438
human,genextreme,9,0.46574451229596475,3.0941920460307304,0.07032086585078902
human,genextreme,10,0.4032297756179465,2.498217035567255,0.02871797588042054
human,genextreme,11,0.42958075952705815,2.8111537885857762,0.03767054678439485
human,genextreme,12,0.39537949073905665,2.5305042316978468,0.026821033070222784
human,genextreme,13,0.5384050672291918,2.9890513178647917,0.06183444947579029
human,genextreme,14,0.4584796845682196,2.8807031145678708,0.042298622858419434
human,genextreme,15,0.46093034048762305,2.8382097807816353,0.04197586738365779
human,genextreme,16,0.37067762509395374,2.04181790363348,0.015982427429242555
human,genextreme,17,0.3788801823539121,2.312152251781614,0.019225262996672668
human,genextreme,18,0.5047824401233576,2.929563536220073,0.06482998706642731
human,genextreme,19,0.4050582684276479,2.4299644714443236,0.028031601357543644
human,genextreme,20,0.4672300704211543,2.6260399902848994,0.02428364218638846
human,genextreme,21,0.506895945292674,2.682814333074163,0.0274821521868355
human,genextreme,22,0.4441508287549215,2.6074729445796945,0.025312171045042953
human,genextreme,23,0.40513722177086303,2.4437374845870297,0.020040749200182645
human,genextreme,24,0.42922919888451455,2.4339427771289017,0.019622583242174807
human,genextreme,25,0.4244377272417951,2.353895653364607,0.019799248667961223
human,genextreme,26,0.40320733739703096,2.284060366220619,0.02034615912292506
human,genextreme,27,0.4087436239896767,2.2324035996727636,0.021159934334640754
human,genextreme,28,0.4804312652921574,2.796012093895222,0.031099222220509117
human,genextreme,29,0.4886490811949173,2.9619182963124158,0.05445992305824189
human,genextreme,30,0.40049966559736166,2.426222471798045,0.020918378447815827
human,genextreme,31,0.4272908667274827,2.4436377778599465,0.02061096191633176
human,genextreme,32,0.47867350048063384,2.789278933596489,0.034994209283944464
human,genextreme,33,0.4985155576855911,2.7796398066870758,0.03228597777834423
human,genextreme,34,0.4139528180074857,2.4578847169759093,0.022126619951016488
human,invgauss,0,0.42912057885013505,1.3409751304754078,0.022629294471374885
human,invgauss,1,0.3878564024231413,1.190911543302504,0.023607162569075038
human,invgauss,2,0.3557591551718613,0.9533645838353948,0.017272032504366576
human,invgauss,3,0.3570815078091215,0.9444611521562216,0.021277739920980508
human,invgauss,4,0.4026316129947651,1.2405002035702393,0.027814856202281312
human,invgauss,5,0.4620835727794124,1.7851479986345882,0.026881205923406135
human,invgauss,6,0.4401097623696601,1.4727771937732963,0.03330992727104182
human,invgauss,7,0.40843666314410226,1.158138097362292,0.028757527930817633
human,invgauss,8,0.4397120083355812,1.5245784411935543,0.025180449848919567
human,invgauss,9,0.4620908657670296,1.8636655813859788,0.035949109583070446
human,invgauss,10,0.4007915597925629,1.2361071418425307,0.026052476641695434
human,invgauss,11,0.42385975452960173,1.5725921815779145,0.01694575337212301
human,invgauss,12,0.39239899067363443,1.237893407037149,0.023113640996283807
human,invgauss,13,0.5324864363748374,2.0618771618367404,0.020907229938712843
human,invgauss,14,0.4559329138261197,1.6912961645648803,0.027220352491054377
human,invgauss,15,0.45621253722013816,1.6859628228146144,0.020478906573233268
human,invgauss,16,0.371353168182581,1.0020108971038368,0.025626884040730612
human,invgauss,17,0.3800346303338113,1.102481871784946,0.031441523129326285
human,invgauss,18,0.49467928690222285,1.9168722186042815,0.025251355632674513
human,invgauss,19,0.39981032785955134,1.2455956282427725,0.013133976625452935
human,invgauss,20,0.46834391680138543,1.5027150820290431,0.03328800897969148
human,invgauss,21,0.5060217963767004,1.7164262584513994,0.023236805564951807
human,invgauss,22,0.44324692539981825,1.4652763157525504,0.02627603338545613
human,invgauss,23,0.40585393753959786,1.2529437459658233,0.030425346967077747
human,invgauss,24,0.4287182522945085,1.3349543584824786,0.024572718146483836
human,invgauss,25,0.42365142933555955,1.2338694803095258,0.024717061806682563
human,invgauss,26,0.4027236328267462,1.1497216892704845,0.025718583133116316
human,invgauss,27,0.4072436377602027,1.1591676882430655,0.021166292573815824
human,invgauss,28,0.4808168067688324,1.706117551976655,0.029909844408140387
human,invgauss,29,0.48393465131663854,1.8459107817897817,0.0233792635397704
human,invgauss,30,0.3995523376250792,1.2256161789074917,0.02546306883204858
human,invgauss,31,0.4271400038523813,1.2862941715823044,0.028062359077717577
human,invgauss,32,0.47673857030658456,1.6828811168803908,0.024246940554131905
human,invgauss,33,0.49570014753767216,1.7879814912770575,0.015332975220730632
human,invgauss,34,0.41315951202740026,1.2670918139929115,0.026068125291257595
human,fatiguelife,0,0.4297102629741244,1.224007905433005,0.026885944369766292
human,fatiguelife,1,0.38846198529312714,1.0907910424931406,0.027684732760051713
human,fatiguelife,2,0.35603189307557176,0.8949026640372725,0.019831248122466574
human,fatiguelife,3,0.3574125811834413,0.8884729332895602,0.023851886596268024
human,fatiguelife,4,0.4033495753492304,1.1356923136560588,0.032472578004087135
human,fatiguelife,5,0.4634281124691954,1.5657035671156168,0.03480047164584466
human,fatiguelife,6,0.441221296062344,1.327427072086917,0.03976597980992094
human,fatiguelife,7,0.4090373719228812,1.076774723746996,0.032759272971528725
human,fatiguelife,8,0.44058365579957526,1.363636275383138,0.031142858425778394
human,fatiguelife,9,0.4638604474744065,1.6220052662305067,0.04216168911906397
human,fatiguelife,10,0.4014687447174458,1.1312585854973098,0.030417887506050418
human,fatiguelife,11,0.4247262789086451,1.3855416187892824,0.02340250785323951
human,fatiguelife,12,0.3930879575316154,1.127764342771729,0.02766855427368669
human,fatiguelife,13,0.5334445698475961,1.823286699863336,0.023174496476577152
human,fatiguelife,14,0.45716565410990356,1.4942964676599788,0.03480719712638383
human,fatiguelife,15,0.45715017286020776,1.490017766028376,0.02745652581389851
human,fatiguelife,16,0.37180026901822893,0.9397378095814174,0.028718614907089088
human,fatiguelife,17,0.3807352743042311,1.0211166829444216,0.0352737722399517
human,fatiguelife,18,0.49521402950811144,1.6844437954101392,0.021297461988243258
human,fatiguelife,19,0.40019961145363203,1.1370048575965754,0.01604895804127015
human,fatiguelife,20,0.46934995979375443,1.3666041191281042,0.03954105958854071
human,fatiguelife,21,0.5068344164943149,1.547119709374591,0.030461193399989327
human,fatiguelife,22,0.44408945758973445,1.3235380931161864,0.03233125488062933
human,fatiguelife,23,0.4066464379426909,1.1468185497633072,0.035178740867652596
human,fatiguelife,24,0.42937445831393956,1.219695176862215,0.02976895315187273
human,fatiguelife,25,0.424246959920378,1.1415422797554577,0.029082238481070746
human,fatiguelife,26,0.4032795377243808,1.0675636158360113,0.02955604995781278
human,fatiguelife,27,0.4076862906754497,1.076713078138524,0.024971802345656564
human,fatiguelife,28,0.48202499437437,1.523342070380167,0.037789992543733754
human,fatiguelife,29,0.48512663868763184,1.6262504035749703,0.03086910797527301
human,fatiguelife,30,0.4002206445379298,1.1228852574564816,0.02997833301980523
human,fatiguelife,31,0.42786039388398106,1.1828200643291356,0.0329409725304093
human,fatiguelife,32,0.4777687279892686,1.503151928231666,0.03152701479560984
human,fatiguelife,33,0.4965354080548981,1.5925031537685153,0.023790711673263534
human,fatiguelife,34,0.4138741883597338,1.1610216439964698,0.03081231844171741
human,lognorm,0,0.42506565679007413,1.5406212531009797,0.026935904936600082
human,lognorm,1,0.3831013157981808,1.3737900473875146,0.025897296351379207
human,lognorm,2,0.35315999228598915,1.0784700072244904,0.01836926917560236
human,lognorm,3,0.35385277478032306,1.0611876539413025,0.022360444185225807
human,lognorm,4,0.3965742052993897,1.4140383619063923,0.02924577429321367
human,lognorm,5,0.4546338635020451,2.004684141630566,0.03384395305694962
human,lognorm,6,0.4318720636557384,1.6645494288902567,0.03623472247349015
human,lognorm,7,0.4028358583238807,1.2997497395751698,0.02965955811855725
human,lognorm,8,0.434167853994288,1.7454240091288713,0.02984391836502016
human,lognorm,9,0.45327696604451956,2.0850583159376375,0.04449948470121037
human,lognorm,10,0.39555302597525827,1.4203380461857409,0.02873765496914441
human,lognorm,11,0.41890657480972626,1.8174459038660349,0.02266232531008658
human,lognorm,12,0.3871575160862298,1.4306115152199994,0.025913249798572388
human,lognorm,13,0.5290071462450998,2.2548367666955222,0.030030970961002514
human,lognorm,14,0.4482789434711353,1.9053556953986612,0.0325033339871263
human,lognorm,15,0.45093797010924863,1.914345318695247,0.02698204507299994
human,lognorm,16,0.3665940168831274,1.1160650158791388,0.026107955296500746
human,lognorm,17,0.37325710752023555,1.237892714976172,0.03210421056673459
human,lognorm,18,0.4939176796688334,2.152967886939668,0.031018464868487562
human,lognorm,19,0.39742459175709227,1.4545072554307528,0.01762035234319854
human,lognorm,20,0.4600776142863067,1.6721856070778638,0.035009551712764334
human,lognorm,21,0.5002410757416096,1.9011444841461154,0.026255992819606916
human,lognorm,22,0.43668704847289835,1.6582401366983819,0.02868245421685106
human,lognorm,23,0.3987960037361941,1.4171194542990984,0.03142357191484348
human,lognorm,24,0.4231113125436186,1.5131809945350991,0.025965858202578036
human,lognorm,25,0.41834200229643576,1.3901999574892063,0.02618490935316843
human,lognorm,26,0.39754283632171145,1.2957178082934568,0.026996808541092307
human,lognorm,27,0.4033986232807497,1.3141866704942027,0.022906224712130482
human,lognorm,28,0.4722234245871565,1.891885480489386,0.03348483589824685
human,lognorm,29,0.4777255585541308,2.0595447346535063,0.030798111466660144
human,lognorm,30,0.3938109233442368,1.3984573369137632,0.027026099283471345
human,lognorm,31,0.4207148914542822,1.4481786918996045,0.029191527289389136
human,lognorm,32,0.46978499788248074,1.8817707397911108,0.02887349409033597
human,lognorm,33,0.4903928666599592,1.986971137080957,0.019930695701393764
human,lognorm,34,0.4070449683373197,1.4379578097192036,0.027952192744534535
human,fisk,0,0.42089583227250593,2.4323889207119818,0.03896036927209089
human,fisk,1,0.3774376932371953,2.3130014088389057,0.03202641338704097
human,fisk,2,0.35035172795290787,2.0593241661093695,0.023420786664863767
human,fisk,3,0.3488672112449576,2.0233845505361385,0.02647844000038058
human,fisk,4,0.38878175501000467,2.3090853577195642,0.032133209858886465
human,fisk,5,0.44727518078267653,2.7341447019752656,0.04946521184514193
human,fisk,6,0.42135350220286344,2.481007375621655,0.0409841330810091
human,fisk,7,0.3942945274918758,2.187190454173479,0.031135854091779595
human,fisk,8,0.42846420893174914,2.5698469318840664,0.042240113486897025
human,fisk,9,0.44239233150503304,2.7881207615705703,0.0627005975414826
human,fisk,10,0.38874876318094753,2.3381097712934147,0.035477505581974635
human,fisk,11,0.4168791718138417,2.652819983114241,0.037683683052400586
human,fisk,12,0.38163846143991276,2.3656471983938543,0.032471573685359
human,fisk,13,0.5281466758422378,2.8730162786026,0.058602366762886444
human,fisk,14,0.4408071794061841,2.665525548109353,0.04402901042799614
human,fisk,15,0.447209730972022,2.685242371063907,0.04348938422027239
human,fisk,16,0.3594009437767643,2.028114914729414,0.024721084482684976
human,fisk,17,0.3633613483648285,2.1403819906156105,0.03049086493392671
human,fisk,18,0.4990902067465291,2.8554931433274016,0.0621483521387058
human,fisk,19,0.3983663200305239,2.420198695976764,0.03195373293588855
human,fisk,20,0.449778648410297,2.4506179863300073,0.03563479456152847
human,fisk,21,0.49466682950035423,2.6114832180107204,0.03540438991953836
human,fisk,22,0.42990154981286965,2.4798153202097977,0.03297175810251979
human,fisk,23,0.38984781485301934,2.293285076436647,0.03074396515482345
human,fisk,24,0.4171978493597498,2.371645142028738,0.028268428921169493
human,fisk,25,0.41196545595560147,2.2744898259036046,0.02868593898619329
human,fisk,26,0.3904711546446985,2.2022222610732247,0.029179547748330748
human,fisk,27,0.3989023263341715,2.233374423823837,0.028563253819806466
human,fisk,28,0.46325580591870935,2.6175548824914032,0.03796028962516601
human,fisk,29,0.4726855516840923,2.7667496993766694,0.05099520464859509
human,fisk,30,0.38719655308468215,2.306418757216383,0.029284638274265987
human,fisk,31,0.41298471439055584,2.3154097876739788,0.030445290636088796
human,fisk,32,0.4638517595760623,2.6333236590487745,0.03814199021987596
human,fisk,33,0.48878983276624655,2.702096429184109,0.03479957798375105
human,fisk,34,0.4002357272506205,2.3298092273691102,0.029881056160016017
human,gamma,0,0.4290431919557985,0.9895534886886219,0.04729262170162137
human,gamma,1,0.3877706526459051,0.8901676482029123,0.045988590433590465
human,gamma,2,0.3556522506286796,0.7458826867058678,0.033944316098460235
human,gamma,3,0.3569667649025149,0.7460685025598347,0.03781566242380261
human,gamma,4,0.402543226474392,0.9300727797571372,0.05164726614554795
human,gamma,5,0.4620244818459017,1.2237877713724425,0.06147374728332065
human,gamma,6,0.4400564561609574,1.0746835081405492,0.06207903327420804
human,gamma,7,0.4083473148077425,0.8972784690753433,0.050617162719016146
human,gamma,8,0.43962280006804727,1.083444510082963,0.05446602829914151
human,gamma,9,0.4620522572199,1.2659171150578419,0.06833262673547108
human,gamma,10,0.40071005532755843,0.923952653421341,0.0493624344141269
human,gamma,11,0.4237941140177202,1.0835690531838496,0.04743656892575511
human,gamma,12,0.392301535619328,0.9166485153809352,0.04657989213521008
human,gamma,13,0.5325101222540467,1.4024988878057674,0.05513725288998718
human,gamma,14,0.4557839458244967,1.178014961346507,0.060325617101336625
human,gamma,15,0.45610853907557697,1.1651945158487285,0.05341458726601278
human,gamma,16,0.3712599689267261,0.7905446207912229,0.04391341189428957
human,gamma,17,0.37991813756619136,0.8526694472031116,0.0520061551707478
human,gamma,18,0.4946103150667435,1.2841551464298786,0.042217752406734844
human,gamma,19,0.3996985649643756,0.9133909736273836,0.03491755243475035
human,gamma,20,0.4682599741015203,1.1126964162499993,0.06252124745361
human,gamma,21,0.505950336294278,1.2282530657765776,0.05750635987179886
human,gamma,22,0.44312982516426236,1.0647987713089753,0.05507238975948052
human,gamma,23,0.405725710169386,0.942043968372899,0.054349280108833053
human,gamma,24,0.42858715418573384,0.9910966191651687,0.05057258904191433
human,gamma,25,0.423542306183975,0.9420944367476721,0.048238611850224204
human,gamma,26,0.40262921135909935,0.8862711353851853,0.04728331128130406
human,gamma,27,0.4071404187730909,0.888070948083184,0.04295495171170783
human,gamma,28,0.4807105893284587,1.212374806770224,0.06410339470451734
human,gamma,29,0.4838604608423057,1.267266711546196,0.05841464479974363
