species,bin_center,count
human,0.025,1952.0
human,0.07500000000000001,1002511.0
human,0.125,1919740.0
human,0.17500000000000002,4737973.0
human,0.225,7810902.0
human,0.275,6491053.0
human,0.32500000000000007,4339371.0
human,0.375,3046195.0
human,0.42500000000000004,2505799.0
human,0.475,2145385.0
human,0.525,1803610.0
human,0.5750000000000001,1488610.0
human,0.625,1232845.0
human,0.675,1058138.0
human,0.7250000000000001,861177.0
human,0.775,755492.0
human,0.8250000000000001,654520.0
human,0.875,568570.0
human,0.925,500575.0
human,0.9750000000000001,416012.0
human,1.025,366894.0
human,1.0750000000000002,317595.0
human,1.125,279601.0
human,1.1750000000000003,233197.0
human,1.225,206583.0
human,1.275,179034.0
human,1.3250000000000002,154605.0
human,1.375,136490.0
human,1.4250000000000003,113089.0
human,1.475,100179.0
human,1.525,86599.0
human,1.5750000000000002,74855.0
human,1.625,66632.0
human,1.6750000000000003,55969.0
human,1.725,49395.0
human,1.775,42996.0
human,1.8250000000000002,38393.0
human,1.875,34063.0
human,1.9250000000000003,29039.0
human,1.975,26061.0
human,2.0250000000000004,23037.0
human,2.075,20713.0
human,2.125,18216.0
human,2.175,16313.0
human,2.225,14731.0
human,2.2750000000000004,13311.0
human,2.325,11530.0
human,2.375,10154.0
human,2.4250000000000003,9151.0
human,2.475,8220.0
human,2.5250000000000004,7616.0
human,2.575,6585.0
human,2.625,6028.0
human,2.6750000000000003,5413.0
human,2.725,4816.0
human,2.7750000000000004,4390.0
human,2.825,3855.0
human,2.875,3542.0
human,2.9250000000000003,3147.0
human,2.975,2906.0
human,3.0250000000000004,2629.0
human,3.075,2224.0
human,3.125,2123.0
human,3.1750000000000003,1865.0
human,3.225,1750.0
human,3.2750000000000004,1618.0
human,3.325,1432.0
human,3.375,1250.0
human,3.4250000000000003,1198.0
human,3.475,1012.0
human,3.5250000000000004,959.0
human,3.575,848.0
human,3.625,782.0
human,3.6750000000000003,724.0
human,3.725,638.0
human,3.7750000000000004,610.0
human,3.825,536.0
human,3.875,524.0
human,3.9250000000000003,442.0
human,3.975,423.0
human,4.025,375.0
human,4.075,349.0
human,4.125,328.0
human,4.175000000000001,302.0
human,4.225,253.0
human,4.275,302.0
human,4.325,251.0
human,4.375,202.0
human,4.425000000000001,206.0
human,4.475,184.0
human,4.525,152.0
human,4.575,136.0
human,4.625,148.0
human,4.675000000000001,125.0
human,4.725,116.0
human,4.775,98.0
human,4.825000000000001,115.0
human,4.875,87.0
human,4.925000000000001,97.0
human,4.975,89.0
human,5.025,76.0
human,5.075000000000001,75.0
human,5.125,62.0
human,5.175000000000001,51.0
human,5.225,48.0
human,5.275,52.0
human,5.325000000000001,41.0
human,5.375,38.0
