roi,r_arith_3d,r_arith_2d_median,r_arith_2d_q25,r_arith_2d_q75,r_eff_3d,r_eff_2d_median,r_eff_2d_q25,r_eff_2d_q75
sham_25_contra_CC,0.23422280826400005,0.24050922691822052,0.23908300697803497,0.24234026670455933,0.3746229777070602,0.4042701721191406,0.3947947174310684,0.42207175493240356
sham_25_contra_CG,0.2996282040618954,0.3096596300601959,0.3055320978164673,0.31104108691215515,0.6653312171826067,0.688323587179184,0.6694608628749847,0.7194062024354935
sham_25_ipsi_CC,0.24031720723824754,0.24733680486679077,0.24622300267219543,0.24886026978492737,0.4240174308808183,0.4310121089220047,0.4156564101576805,0.4515130743384361
sham_25_ipsi_CG,0.28229255871927106,0.2928127646446228,0.2914869785308838,0.2944081425666809,0.8361293710498127,0.8085328042507172,0.7887894064188004,0.8275630325078964
sham_49_contra_CC,0.24760537408335226,0.2592286169528961,0.2579038143157959,0.26054874062538147,0.3912190679372553,0.42335784435272217,0.41517309844493866,0.4374685361981392
sham_49_contra_CG,0.2968883162981448,0.3104115426540375,0.3081437647342682,0.3127453923225403,0.6347115642579054,0.6059475839138031,0.5977342873811722,0.636883944272995
sham_49_ipsi_CG,0.3014192200418379,0.31962472200393677,0.3181672990322113,0.32203981280326843,0.74073099256221,0.7166663408279419,0.7052820920944214,0.7256955206394196
tbi_24_contra_CC,0.21622916872536427,0.22450943291187286,0.22343569993972778,0.22540399432182312,0.34185447986266565,0.4000120759010315,0.380582332611084,0.42373380064964294
tbi_24_contra_CG,0.2596787037025681,0.26864826679229736,0.267336368560791,0.2702730894088745,0.5596639970169672,0.5167877674102783,0.5004284232854843,0.5461589694023132
tbi_24_ipsi_CC,0.23503702238765534,0.2443726658821106,0.24328459799289703,0.2452341616153717,0.4124663071302485,0.4309150278568268,0.4209020286798477,0.43944111466407776
tbi_24_ipsi_CG,0.2275352651780174,0.24723877012729645,0.2432473748922348,0.2502613663673401,0.34644859106760445,0.44536060094833374,0.42242661118507385,0.47990649938583374
tbi_28_contra_CC,0.229695316848635,0.2432895302772522,0.2418043315410614,0.24461743235588074,0.40897531726887204,0.46208788454532623,0.4514460042119026,0.4745861366391182
tbi_28_contra_CG,0.26717657548655144,0.2766966223716736,0.27541303634643555,0.2784880995750427,0.5111032671034388,0.5477113723754883,0.5259795188903809,0.601830467581749
tbi_28_ipsi_CC,0.23326034612435625,0.24460092186927795,0.24226398766040802,0.2457801103591919,0.4136527240535626,0.4586251676082611,0.4473670870065689,0.47310130298137665
tbi_28_ipsi_CG,0.2424533612204249,0.255658894777298,0.25341084599494934,0.25743311643600464,0.3972793449347441,0.47558338940143585,0.45898638665676117,0.4963245615363121
tbi_2_contra_CC,0.22993610178225016,0.24074023962020874,0.23762619495391846,0.24216851592063904,0.3438767683106302,0.3847527801990509,0.3760715276002884,0.39847898483276367
tbi_2_contra_CG,0.2640778505268231,0.27572494745254517,0.2745407223701477,0.27737540006637573,0.552921332225014,0.5219767987728119,0.5015716552734375,0.5511685013771057
tbi_2_ipsi_CC,0.21515790014454056,0.22834010422229767,0.22562149167060852,0.23038989305496216,0.319501605807581,0.34359976649284363,0.33732083439826965,0.3508658707141876
tbi_2_ipsi_CG,0.20615441537104898,0.21578729152679443,0.2147449553012848,0.21810638904571533,0.3146911038252695,0.34784092009067535,0.33624813705682755,0.36022285372018814
